deal_id,deal_outcome,final_approved_price_pct,expected_margin_pct,sales_channel,source_file,load_timestamp
DEAL001,Won,8.33,1.98,Relationship Manager,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL002,Won,6.0,-1.05,Relationship Manager,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL003,Won,6.92,1.52,Relationship Manager,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL004,Won,7.6,1.95,API Quote,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL005,Won,7.25,1.35,API Quote,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL006,Won,4.9,0.05,Digital Upload,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL007,Won,7.75,2.35,API Quote,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL008,Won,7.67,1.92,Branch,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL009,Won,8.02,1.97,Branch,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL010,Won,6.4,0.97,Relationship Manager,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL011,Won,8.1,2.2,API Quote,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL012,Won,7.02,1.62,Branch,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL013,Won,6.55,-1.1,Branch,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL014,Won,6.4,1.0,Branch,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL015,Lost,5.35,-0.05,Relationship Manager,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL016,Won,6.6,1.0,Digital Upload,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
DEAL017,Won,6.55,0.95,API Quote,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387851+00:00
