rating_event_id,customer_id,customer_name,event_date,old_internal_rating,new_internal_rating,old_risk_category,new_risk_category,rating_change_direction,reason_code,recommended_pricing_action,additional_risk_premium_pct,floating_rate_required_flag,credit_review_required_flag,source_document_id,source_document_name,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
RATEVT0001,CUST012,Skyline Real Estate,2026-06-05,BB,B+,High,High,Downgrade,Management turnover,Increase risk premium and move to floating rate,0.50,Y,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0002,CUST018,Lulu Fresh Markets,2026-06-03,BBB+,BBB,Medium,Medium,Downgrade,Management turnover,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0003,CUST020,Nile General Supplies,2026-06-19,BB,B+,High,High,Downgrade,Higher leverage,Increase risk premium and move to floating rate,0.50,Y,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0004,CUST002,Falcon Steel Industries,2026-06-11,A,A-,Low,Low,Downgrade,Management turnover,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0005,CUST013,Union Pharma Trading,2026-06-26,A-,BBB+,Low,Medium,Downgrade,Missed covenant threshold,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0006,CUST005,Emirates Healthcare Services,2026-06-09,A-,BBB+,Low,Medium,Downgrade,Management turnover,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0007,CUST004,Oasis Retail Group,2026-06-05,BBB-,BB+,Medium,High,Downgrade,Missed covenant threshold,Increase risk premium and move to floating rate,0.50,Y,Y,DOC_CR_003,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0008,CUST017,Red Dune Mining,2026-06-26,BB+,BB,High,High,Downgrade,Higher leverage,Increase risk premium and move to floating rate,0.50,Y,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0009,CUST008,Blue Wave Shipping,2026-06-22,BBB+,BBB,Medium,Medium,Downgrade,Management turnover,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0010,CUST016,Capital Education Group,2026-06-05,A,A-,Low,Low,Downgrade,Delayed receivables,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_003,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0011,CUST014,Arabian Textiles,2026-06-26,BBB-,BB+,Medium,High,Downgrade,Management turnover,Increase risk premium and move to floating rate,0.50,Y,Y,DOC_CR_002,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0012,CUST001,Al Noor Trading LLC,2026-06-19,BBB,BBB-,Medium,Medium,Downgrade,Industry outlook deteriorated,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0013,CUST009,Green Energy MEA,2026-06-06,A,A-,Low,Low,Downgrade,Industry outlook deteriorated,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0014,CUST007,Pearl Foods Distribution,2026-06-05,BBB,BBB-,Medium,Medium,Downgrade,External bureau downgrade,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_004,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0015,CUST003,Gulf Star Logistics,2026-06-17,BBB+,BBB,Medium,Medium,Downgrade,Delayed receivables,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0016,CUST011,Royal Hospitality LLC,2026-06-16,BBB,BBB-,Medium,Medium,Downgrade,Liquidity pressure,Review margin cushion and monitor exposure,0.25,N,Y,DOC_CR_003,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0017,CUST029,Zenith Pharma Distribution,2026-06-17,A-,BBB+,Low,Medium,Downgrade,Higher leverage,Increase risk premium and add cushion for new customer risk,0.30,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0018,CUST030,Orbit Hospitality Services,2026-06-24,BB,B+,High,High,Downgrade,Management turnover,Increase risk premium and add cushion for new customer risk,0.60,Y,Y,DOC_CR_003,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0019,CUST022,Mira Electronics Trading,2026-06-15,A-,BBB+,Low,Medium,Downgrade,External bureau downgrade,Increase risk premium and add cushion for new customer risk,0.30,N,Y,DOC_CR_001,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
RATEVT0020,CUST028,City Retail Mart LLC,2026-06-02,BBB-,BB+,Medium,High,Downgrade,Liquidity pressure,Increase risk premium and add cushion for new customer risk,0.60,Y,Y,DOC_CR_004,Credit_Rating_Migration_Report_Jun_2026.pdf,Synthetic_POC_Raw_Landing,raw_credit_rating_events_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
