deal_id,rule_id,rule_version,policy_id,expected_margin_pct,policy_min_margin_pct,margin_shortfall,severity,reason,evaluation_timestamp,source_file,load_timestamp
DEAL001,RULE_001,1.0.0,POL002,1.98,2.45,0.47,STANDARD,Expected margin (1.98%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.47pp.,2026-07-29T11:45:14.389529+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436405+00:00
DEAL002,RULE_001,1.0.0,POL024,-1.05,0.7,1.75,CRITICAL,Expected margin (-1.05%) is below the applicable policy minimum (0.7%) for policy POL024; shortfall=1.75pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.390193+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436450+00:00
DEAL003,RULE_001,1.0.0,POL005,1.52,1.75,0.23,STANDARD,Expected margin (1.52%) is below the applicable policy minimum (1.75%) for policy POL005; shortfall=0.23pp.,2026-07-29T11:45:14.390868+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436486+00:00
DEAL004,RULE_001,1.0.0,POL002,1.95,2.45,0.5,STANDARD,Expected margin (1.95%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.5pp.,2026-07-29T11:45:14.391548+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436519+00:00
DEAL005,RULE_001,1.0.0,POL013,1.35,2.0,0.65,STANDARD,Expected margin (1.35%) is below the applicable policy minimum (2.0%) for policy POL013; shortfall=0.65pp.,2026-07-29T11:45:14.392258+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436551+00:00
DEAL006,RULE_001,1.0.0,POL022,0.05,0.2,0.15,CRITICAL,Expected margin (0.05%) is below the applicable policy minimum (0.2%) for policy POL022; shortfall=0.15pp. Additionally below the absolute profitability floor of 0.1%.,2026-07-29T11:45:14.392841+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436582+00:00
DEAL007,RULE_001,1.0.0,POL015,2.35,2.5,0.15,STANDARD,Expected margin (2.35%) is below the applicable policy minimum (2.5%) for policy POL015; shortfall=0.15pp.,2026-07-29T11:45:14.394372+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436613+00:00
DEAL008,RULE_001,1.0.0,POL014,1.92,2.2,0.28,STANDARD,Expected margin (1.92%) is below the applicable policy minimum (2.2%) for policy POL014; shortfall=0.28pp.,2026-07-29T11:45:14.395914+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436644+00:00
DEAL009,RULE_001,1.0.0,POL002,1.97,2.45,0.48,STANDARD,Expected margin (1.97%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.48pp.,2026-07-29T11:45:14.396953+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436675+00:00
DEAL010,RULE_001,1.0.0,POL021,0.97,1.1,0.13,STANDARD,Expected margin (0.97%) is below the applicable policy minimum (1.1%) for policy POL021; shortfall=0.13pp.,2026-07-29T11:45:14.397596+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436707+00:00
DEAL011,RULE_001,1.0.0,POL002,2.2,2.45,0.25,STANDARD,Expected margin (2.2%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.25pp.,2026-07-29T11:45:14.398507+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436739+00:00
DEAL012,RULE_001,1.0.0,POL002,1.62,2.45,0.83,STANDARD,Expected margin (1.62%) is below the applicable policy minimum (2.45%) for policy POL002; shortfall=0.83pp.,2026-07-29T11:45:14.399353+00:00,DERIVED:rule_evaluation(RULE_001),2026-07-29T11:45:14.436769+00:00
