customer_id,customer_name,customer_segment,industry,region,preferred_currency,risk_category,internal_rating,relationship_tenure_years,relationship_status,relationship_discount_pct,annual_revenue_aed,debt_to_equity_ratio,credit_score,existing_exposure_aed,total_deals,won_deals,lost_deals,total_deal_volume_aed,avg_deal_size_aed,avg_expected_margin_pct,avg_approved_price_pct,avg_relationship_discount_pct,last_deal_date,win_rate_pct
CUST001,Al Noor Trading LLC,SME,Trading,Dubai,AED,Medium,BBB,5,Existing,0.25,18000000,0.42,690,3500000,3,2,1,123200000.0,41066666.666666664,0.4833333333333334,6.25,0.25,2025-12-19,66.67
CUST002,Falcon Steel Industries,Corporate,Manufacturing,Abu Dhabi,AED,Low,A,9,Strategic,0.45,145000000,0.38,760,25000000,1,1,0,58000000.0,58000000.0,1.35,7.25,0.45,2025-10-24,100.0
CUST003,Gulf Star Logistics,Corporate,Logistics,Dubai,AED,Medium,BBB+,7,Existing,0.3,82000000,0.48,720,16000000,4,4,0,63500000.0,15875000.0,1.65,7.7375,0.3,2025-12-22,100.0
CUST004,Oasis Retail Group,SME,Retail,Sharjah,AED,Medium,BBB-,4,Existing,0.2,32000000,0.55,670,6500000,3,3,0,45200000.0,15066666.666666666,1.7,7.333333333333333,0.20000000000000004,2026-03-04,100.0
CUST005,Emirates Healthcare Services,Corporate,Healthcare,Abu Dhabi,AED,Low,A-,8,Strategic,0.4,210000000,0.34,775,40000000,4,4,0,397400000.0,99350000.0,0.375,5.6,0.4,2026-02-06,100.0
CUST006,Desert Sands Construction,Corporate,Construction,Dubai,AED,High,BB+,6,Existing,0.1,120000000,0.66,630,30000000,3,2,1,120900000.0,40300000.0,1.4000000000000001,7.6499999999999995,0.10000000000000002,2026-04-20,66.67
CUST007,Pearl Foods Distribution,SME,FMCG,Ajman,AED,Medium,BBB,3,New,0.1,22000000,0.46,680,4200000,2,2,0,174000000.0,87000000.0,0.17500000000000004,6.325,0.1,2026-01-10,100.0
CUST008,Blue Wave Shipping,Corporate,Shipping,Dubai,USD,Medium,BBB+,10,Strategic,0.35,98000000,0.52,715,18000000,1,1,0,50100000.0,50100000.0,1.8,7.3,0.35,2025-07-06,100.0
CUST009,Green Energy MEA,Corporate,Energy,Abu Dhabi,USD,Low,A,5,Existing,0.35,300000000,0.31,790,50000000,6,3,3,154700000.0,25783333.333333332,0.7416666666666666,6.25,0.3499999999999999,2026-03-07,50.0
CUST010,Metro Auto Parts LLC,SME,Automotive,Dubai,AED,Medium,BBB-,4,Existing,0.18,27000000,0.5,665,5200000,2,2,0,94400000.0,47200000.0,1.745,7.57,0.18,2026-01-14,100.0
CUST011,Royal Hospitality LLC,SME,Hospitality,Ras Al Khaimah,AED,Medium,BBB,6,Existing,0.22,41000000,0.47,700,8000000,3,3,0,251900000.0,83966666.66666667,1.2266666666666666,7.513333333333333,0.22,2026-01-29,100.0
CUST012,Skyline Real Estate,Corporate,Real Estate,Dubai,AED,High,BB,8,Existing,0.05,180000000,0.72,610,45000000,7,7,0,463100000.0,66157142.85714286,1.3928571428571428,7.521428571428572,0.05,2025-08-21,100.0
CUST013,Union Pharma Trading,SME,Pharma Trading,Sharjah,AED,Low,A-,5,Strategic,0.35,52000000,0.36,750,9000000,5,3,2,63900000.0,12780000.0,0.5399999999999999,5.970000000000001,0.35,2026-04-05,60.0
CUST014,Arabian Textiles,SME,Manufacturing,Ajman,AED,Medium,BBB-,2,New,0.08,19000000,0.58,650,3800000,3,3,0,79400000.0,26466666.666666668,1.7533333333333332,7.419999999999999,0.08,2026-03-11,100.0
CUST015,Prime Tech Solutions,SME,Technology,Dubai,USD,Low,A-,3,Existing,0.3,65000000,0.28,780,7000000,1,0,1,17800000.0,17800000.0,0.0,5.35,0.3,2026-05-05,0.0
CUST016,Capital Education Group,Corporate,Education,Abu Dhabi,AED,Low,A,11,Strategic,0.45,155000000,0.29,800,22000000,4,3,1,125400000.0,31350000.0,0.875,6.375,0.45,2026-04-23,75.0
CUST017,Red Dune Mining,Corporate,Mining,Fujairah,USD,High,BB+,6,Existing,0.08,240000000,0.69,625,60000000,4,4,0,51000000.0,12750000.0,1.0325,6.3775,0.08,2026-03-03,100.0
CUST018,Lulu Fresh Markets,Corporate,Retail,Dubai,AED,Medium,BBB+,12,Strategic,0.38,260000000,0.44,735,35000000,3,3,0,135400000.0,45133333.333333336,1.47,7.22,0.38000000000000006,2026-04-10,100.0
CUST019,Coastal Marine Services,SME,Marine Services,Abu Dhabi,USD,Medium,BBB,5,Existing,0.2,44000000,0.53,690,10000000,1,1,0,65000000.0,65000000.0,1.95,7.6,0.2,2025-03-05,100.0
CUST020,Nile General Supplies,SME,Wholesale,Sharjah,AED,High,BB,1,New,0.0,12000000,0.74,590,2500000,0,0,0,0.0,0.0,0.0,0.0,0.0,,0.0
