customer_id,customer_segment,region,risk_category,product_type,total_won_deals,total_volume_aed,revenue_aed,funding_cost_aed,operating_cost_aed,capital_cost_aed,net_profit_aed,avg_net_margin_pct,profitability_tier
CUST001,SME,Dubai,Medium,Trade Finance,2,14400000,956400.0,766200.0,211204.8,86400.0,-121804.8,0.625,Medium
CUST002,Corporate,Abu Dhabi,Low,Loan,1,58000000,4205000.0,3219000.0,96686.0,232000.0,570314.0,1.15,High
CUST003,Corporate,Dubai,Medium,Loan,3,47800000,3885300.0,2826000.0,79682.6,286800.0,621117.4,1.4667,High
CUST003,Corporate,Dubai,Medium,Trade Finance,1,15700000,1036200.0,824250.0,34021.9,94200.0,60178.1,0.6,Medium
CUST004,SME,Sharjah,Medium,Loan,2,36500000,2733300.0,1942050.0,407595.5,219000.0,146404.5,1.65,High
CUST004,SME,Sharjah,Medium,Trade Finance,1,8700000,574200.0,439350.0,127602.9,52200.0,-49302.9,0.9,Medium
CUST005,Corporate,Abu Dhabi,Low,Deposit,3,348000000,17635500.0,18252000.0,162516.0,1392000.0,-2519016.0,-0.6833,Loss-Making
CUST005,Corporate,Abu Dhabi,Low,Loan,1,49400000,3606200.0,2815800.0,82349.8,197600.0,461050.2,1.1,High
CUST006,Corporate,Dubai,High,Loan,2,77900000,6621500.0,4426500.0,129859.3,623200.0,1247190.7,1.9,High
CUST007,SME,Ajman,Medium,Deposit,1,161500000,9690000.0,8721000.0,484500.0,969000.0,-403750.0,0.05,Low
CUST007,SME,Ajman,Medium,Trade Finance,1,12500000,831250.0,656250.0,183337.5,75000.0,-77087.5,0.85,Medium
CUST008,Corporate,Dubai,Medium,Loan,1,50100000,3657300.0,2580150.0,83516.7,300600.0,592833.3,1.35,High
CUST009,Corporate,Abu Dhabi,Low,Loan,3,119300000,8608950.0,6301550.0,198873.1,477200.0,1571676.9,1.5,High
CUST010,SME,Dubai,Medium,Loan,2,94400000,7373780.0,5282250.0,1054164.8,566400.0,442645.2,1.465,High
CUST011,SME,Ras Al Khaimah,Medium,Deposit,1,161600000,9744480.0,8968800.0,484800.0,969600.0,-791840.0,-0.19,Loss-Making
CUST011,SME,Ras Al Khaimah,Medium,Loan,2,90300000,7487940.0,5315850.0,1008380.1,541800.0,558699.9,1.81,High
CUST012,Corporate,Dubai,High,Deposit,2,307000000,19078350.0,16102000.0,143369.0,2456000.0,-237019.0,-0.025,Loss-Making
CUST012,Corporate,Dubai,High,Loan,4,150300000,12335000.0,8134750.0,250550.1,1202400.0,2446699.9,1.875,High
CUST012,Corporate,Dubai,High,Trade Finance,1,5800000,429200.0,304500.0,12568.6,46400.0,54131.4,1.15,High
CUST013,SME,Sharjah,Low,Trade Finance,3,16400000,1037000.0,836200.0,240538.8,65600.0,-113538.8,0.8167,Medium
CUST014,SME,Ajman,Medium,Loan,2,73200000,5575440.0,3965400.0,817424.4,439200.0,404655.6,1.69,High
CUST014,SME,Ajman,Medium,Trade Finance,1,6200000,429040.0,313100.0,90935.4,37200.0,-7855.4,1.34,High
CUST016,Corporate,Abu Dhabi,Low,Loan,3,121600000,7840050.0,6220400.0,202707.2,486400.0,748142.8,0.7833,Medium
CUST017,Corporate,Fujairah,High,Treasury,4,51000000,3251110.0,2554560.0,54417.0,408000.0,116833.0,0.3525,Low
CUST018,Corporate,Dubai,Medium,Loan,2,114300000,8676510.0,6307650.0,190538.1,685800.0,1229631.9,1.315,High
CUST018,Corporate,Dubai,Medium,Trade Finance,1,21100000,1354620.0,1107750.0,45723.7,126600.0,26016.3,0.34,Low
CUST019,SME,Abu Dhabi,Medium,Loan,1,65000000,4940000.0,3445000.0,725855.0,390000.0,346645.0,1.65,High
