cross_sell_rule_id,primary_product_id,primary_product_name,customer_segment,industry,trigger_condition,recommended_product_id,recommended_product_name,expected_incremental_revenue_aed,cross_sell_priority,rationale,source_document_id,source_document_name,rule_status,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
XSELL0001,PROD001,Working Capital Loan,SME,Marine Services,Surplus monthly cash balance,PROD008,Corporate Deposit,180000,Low,Surplus operating cash can be placed in short-tenor deposit.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0002,PROD001,Working Capital Loan,SME,Healthcare,Recurring supplier payments,PROD003,Trade Finance LC,250000,High,Customer working capital need indicates import/export cycle; LC can support supplier payments.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0003,PROD001,Working Capital Loan,SME,Technology,Surplus monthly cash balance,PROD003,Trade Finance LC,250000,High,Customer working capital need indicates import/export cycle; LC can support supplier payments.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0004,PROD001,Working Capital Loan,SME,Energy,Import/export transaction pattern,PROD003,Trade Finance LC,180000,High,Customer working capital need indicates import/export cycle; LC can support supplier payments.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0005,PROD001,Working Capital Loan,Corporate,Trading,Surplus monthly cash balance,PROD008,Corporate Deposit,25000,Medium,Surplus operating cash can be placed in short-tenor deposit.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0006,PROD001,Working Capital Loan,Corporate,Technology,Receivable concentration,PROD008,Corporate Deposit,120000,High,Surplus operating cash can be placed in short-tenor deposit.,DOC_XSELL_002,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0007,PROD001,Working Capital Loan,Corporate,FMCG,Receivable concentration,PROD008,Corporate Deposit,180000,Medium,Surplus operating cash can be placed in short-tenor deposit.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0008,PROD001,Working Capital Loan,Corporate,Logistics,Recurring supplier payments,PROD003,Trade Finance LC,45000,Medium,Customer working capital need indicates import/export cycle; LC can support supplier payments.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0009,PROD002,Term Loan,SME,Retail,Recurring supplier payments,PROD008,Corporate Deposit,250000,Medium,Bundle deposit relationship for better wallet share.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0010,PROD002,Term Loan,SME,Manufacturing,Foreign currency exposure,PROD007,FX Forward Facility,250000,Medium,Term loan in foreign currency creates FX exposure; hedge with forward facility.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0011,PROD002,Term Loan,SME,Trading,Recurring supplier payments,PROD008,Corporate Deposit,180000,Low,Bundle deposit relationship for better wallet share.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0012,PROD002,Term Loan,SME,Energy,Recurring supplier payments,PROD007,FX Forward Facility,25000,Low,Term loan in foreign currency creates FX exposure; hedge with forward facility.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0013,PROD002,Term Loan,Corporate,Marine Services,Receivable concentration,PROD007,FX Forward Facility,180000,High,Term loan in foreign currency creates FX exposure; hedge with forward facility.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0014,PROD002,Term Loan,Corporate,Construction,Import/export transaction pattern,PROD007,FX Forward Facility,120000,Low,Term loan in foreign currency creates FX exposure; hedge with forward facility.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0015,PROD002,Term Loan,Corporate,Trading,Recurring supplier payments,PROD007,FX Forward Facility,120000,Low,Term loan in foreign currency creates FX exposure; hedge with forward facility.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0016,PROD002,Term Loan,Corporate,FMCG,Surplus monthly cash balance,PROD008,Corporate Deposit,120000,Medium,Bundle deposit relationship for better wallet share.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0017,PROD003,Trade Finance LC,SME,Manufacturing,Surplus monthly cash balance,PROD001,Working Capital Loan,250000,Low,Short term working capital can support inventory build-up.,DOC_XSELL_001,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0018,PROD003,Trade Finance LC,SME,Retail,High utilization of facility,PROD001,Working Capital Loan,75000,Medium,Short term working capital can support inventory build-up.,DOC_XSELL_003,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
XSELL0019,PROD003,Trade Finance LC,SME,Logistics,Foreign currency exposure,PROD004,Invoice Discounting,180000,High,LC users may require receivable financing after shipment.,DOC_XSELL_004,Product_Cross_Sell_Playbook_2026.pdf,Active,Synthetic_POC_Raw_Landing,raw_cross_sell_recommendation_rules_2026.csv,BATCH_RAW_20260701_001,2026-07-01
