competitor_offer_id,competitor_name,customer_segment,industry,region,product_id,product_name,product_type,currency,tenor,benchmark_index,competitor_margin_pct,competitor_total_rate_pct,processing_fee_pct,early_settlement_fee_pct,valid_from,valid_to,source_document_id,source_document_name,confidence_score_pct,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
COMP0001,ADCB,SME,Trading,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.95,7.00,0.20,1.00,2026-06-01,2026-06-30,DOC_COMP_004,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0002,Standard Chartered UAE,SME,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.95,7.00,0.20,1.00,2026-06-01,2026-06-30,DOC_COMP_004,RM_Competitor_Offer_Emails_Jun_2026.msg,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0003,ADCB,SME,Manufacturing,Dubai,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.75,7.00,0.30,0.50,2026-06-01,2026-06-30,DOC_COMP_003,RM_Competitor_Offer_Emails_Jun_2026.msg,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0004,Standard Chartered UAE,SME,Marine Services,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.50,6.75,0.15,0.75,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0005,Standard Chartered UAE,SME,Healthcare,Dubai,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.75,7.15,0.15,1.00,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0006,HSBC UAE,SME,Manufacturing,Ajman,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.65,7.05,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0007,Dubai Islamic Bank,Corporate,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.90,6.95,0.20,1.00,2026-06-01,2026-06-30,DOC_COMP_002,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0008,ADCB,Corporate,Construction,Ras Al Khaimah,PROD001,Working Capital Loan,Loan,AED,1M,EIBOR,1.65,6.70,0.20,1.00,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0009,Emirates NBD,Corporate,Construction,Dubai,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.65,6.90,0.20,1.00,2026-06-01,2026-06-30,DOC_COMP_003,Competitor_Rate_Market_Scan_Jun_2026.pdf,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0010,Dubai Islamic Bank,Corporate,Marine Services,Abu Dhabi,PROD001,Working Capital Loan,Loan,AED,3M,EIBOR,1.65,6.90,0.25,0.50,2026-06-01,2026-06-30,DOC_COMP_002,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0011,Standard Chartered UAE,Corporate,Technology,Sharjah,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.65,7.05,0.20,0.50,2026-06-01,2026-06-30,DOC_COMP_004,Competitor_Rate_Market_Scan_Jun_2026.pdf,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0012,HSBC UAE,Corporate,Retail,Abu Dhabi,PROD001,Working Capital Loan,Loan,AED,6M,EIBOR,1.30,6.70,0.30,1.00,2026-06-01,2026-06-30,DOC_COMP_001,RM_Competitor_Offer_Emails_Jun_2026.msg,90,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0013,HSBC UAE,SME,Construction,Ras Al Khaimah,PROD002,Term Loan,Loan,AED,12M,EIBOR,2.25,7.80,0.15,1.00,2026-06-01,2026-06-30,DOC_COMP_001,Public_Tariff_Benchmark_Q2_2026.xlsx,85,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0014,Mashreq Bank,SME,Logistics,Dubai,PROD002,Term Loan,Loan,AED,12M,EIBOR,2.40,7.95,0.25,0.75,2026-06-01,2026-06-30,DOC_COMP_002,RM_Competitor_Offer_Emails_Jun_2026.msg,75,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
COMP0015,Standard Chartered UAE,SME,Retail,Ras Al Khaimah,PROD002,Term Loan,Loan,AED,24M,EIBOR,2.25,7.95,0.15,1.00,2026-06-01,2026-06-30,DOC_COMP_003,Public_Tariff_Benchmark_Q2_2026.xlsx,80,Synthetic_POC_Raw_Landing,raw_competitor_pricing_jun_2026.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
