file_name,file_purpose,column_name,column_description,join_usage
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,customer_id,Unique customer identifier compatible with existing customer_master customer_id.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,customer_name,Customer name,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,customer_segment,Banking customer segment such as SME or Corporate.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,industry,Industry,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,region,Region,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,preferred_currency,Preferred currency,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,risk_category,Risk category used for margin/risk premium logic.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,internal_rating,Internal rating,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,relationship_tenure_years,Relationship tenure years,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,relationship_status,Relationship status,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,relationship_discount_pct,Relationship discount pct,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,annual_revenue_aed,Annual revenue aed,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,debt_to_equity_ratio,Debt to equity ratio,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,credit_score,Credit score,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,existing_exposure_aed,Existing exposure aed,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,requested_product_id,Product identifier compatible with existing product_master product_id.,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,requested_product_type,Requested product type,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,requested_amount_aed,Requested amount aed,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
raw_prospect_customer_profile.csv,New/prospect customer profiles for no-relationship pricing questions. Can be appended to curated customer master.,requested_tenor,Requested tenor,customer_id joins to memory and similarity; requested_product_id joins to product_master.product_id; customer_segment/risk_category joins to raw_customer_segment_pricing_rules.
