deal_id,customer_id,customer_name,customer_segment,risk_category,product_id,product_type,currency,tenor,treasury_rate_component,target_margin_component,risk_premium_component,operations_cost_component,relationship_discount_component,final_recommended_price,approved_price_pct,explanation_text
DEAL001,CUST011,Royal Hospitality LLC,SME,Medium,PROD002,Loan,AED,60M,6.0,2.45,0.45,1.1167,0.22,9.7967,8.33,Treasury/funding 6.00% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.22% = recommended 9.80%
DEAL002,CUST012,Skyline Real Estate,Corporate,High,PROD008,Deposit,AED,1M,5.05,0.25,0.95,0.0467,0.05,6.2467,6.0,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.95% + ops cost 0.05% - relationship discount 0.05% = recommended 6.25%
DEAL003,CUST014,Arabian Textiles,SME,Medium,PROD004,Trade Finance,AED,1M,5.05,1.8,0.45,1.4667,0.08,8.6867,6.92,Treasury/funding 5.05% + target margin 1.80% + risk premium 0.45% + ops cost 1.47% - relationship discount 0.08% = recommended 8.69%
DEAL004,CUST019,Coastal Marine Services,SME,Medium,PROD006,Loan,USD,24M,5.3,2.45,0.45,1.1167,0.2,9.1167,7.6,Treasury/funding 5.30% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.20% = recommended 9.12%
DEAL005,CUST002,Falcon Steel Industries,Corporate,Low,PROD002,Loan,AED,12M,5.55,2.3,0.1,0.1667,0.45,7.6667,7.25,Treasury/funding 5.55% + target margin 2.30% + risk premium 0.10% + ops cost 0.17% - relationship discount 0.45% = recommended 7.67%
DEAL006,CUST005,Emirates Healthcare Services,Corporate,Low,PROD008,Deposit,AED,1M,5.05,0.25,0.1,0.0467,0.4,5.0467,4.9,Treasury/funding 5.05% + target margin 0.25% + risk premium 0.10% + ops cost 0.05% - relationship discount 0.40% = recommended 5.05%
DEAL007,CUST012,Skyline Real Estate,Corporate,High,PROD001,Loan,AED,1M,5.05,2.3,0.95,0.1667,0.05,8.4167,7.75,Treasury/funding 5.05% + target margin 2.30% + risk premium 0.95% + ops cost 0.17% - relationship discount 0.05% = recommended 8.42%
DEAL008,CUST018,Lulu Fresh Markets,Corporate,Medium,PROD005,Loan,AED,6M,5.4,2.3,0.45,0.1667,0.38,7.9367,7.67,Treasury/funding 5.40% + target margin 2.30% + risk premium 0.45% + ops cost 0.17% - relationship discount 0.38% = recommended 7.94%
DEAL009,CUST010,Metro Auto Parts LLC,SME,Medium,PROD002,Loan,AED,24M,5.7,2.45,0.45,1.1167,0.18,9.5367,8.02,Treasury/funding 5.70% + target margin 2.45% + risk premium 0.45% + ops cost 1.12% - relationship discount 0.18% = recommended 9.54%
DEAL010,CUST017,Red Dune Mining,Corporate,High,PROD007,Treasury,USD,6M,5.08,1.0,0.95,0.1067,0.08,7.0567,6.4,Treasury/funding 5.08% + target margin 1.00% + risk premium 0.95% + ops cost 0.11% - relationship discount 0.08% = recommended 7.06%
