deal_id,recommended_price_pct,standard_margin_pct,risk_premium_pct,relationship_discount_pct,funding_cost_pct,source_file,load_timestamp
DEAL001,8.33,2.1,0.45,0.22,6.0,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL002,6.2,0.25,0.95,0.05,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL003,6.92,1.5,0.45,0.08,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL004,7.8,2.25,0.45,0.2,5.3,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL005,7.3,2.1,0.1,0.45,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL006,5.0,0.25,0.1,0.4,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL007,7.75,1.8,0.95,0.05,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL008,7.87,2.4,0.45,0.38,5.4,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL009,8.07,2.1,0.45,0.18,5.7,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL010,6.55,0.6,0.95,0.08,5.08,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL011,8.2,2.4,0.45,0.2,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL012,7.22,1.8,0.45,0.08,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL013,6.7,0.25,0.95,0.05,5.55,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL014,6.5,1.8,0.1,0.45,5.05,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL015,5.5,0.25,0.1,0.35,5.4,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL016,6.7,1.8,0.1,0.45,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL017,6.6,1.5,0.1,0.35,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL018,6.57,1.25,0.45,0.38,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
DEAL019,8.55,2.4,0.95,0.05,5.25,DERIVED:kg_deals_curated.csv,2026-07-29T11:45:14.387500+00:00
