similarity_mapping_id,new_customer_id,new_customer_name,reference_customer_id,reference_customer_name,customer_segment,industry_match_flag,risk_category_match_flag,region_match_flag,revenue_band_match_flag,requested_product_id,requested_product_name,similarity_score,reference_final_price_pct,adjustment_for_new_customer_pct,suggested_price_adjustment_rationale,source_system,source_file_name,ingestion_batch_id,ingestion_timestamp
SIM0001,CUST021,Sahara Medical Supplies LLC,CUST010,Metro Auto Parts LLC,SME,N,Y,Y,Y,PROD001,Working Capital Loan,0.89,7.42,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0002,CUST021,Sahara Medical Supplies LLC,CUST011,Royal Hospitality LLC,SME,N,Y,N,Y,PROD001,Working Capital Loan,0.82,7.38,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0003,CUST022,Mira Electronics Trading,CUST015,Prime Tech Solutions,SME,N,Y,N,Y,PROD004,Invoice Discounting,0.91,6.55,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0004,CUST022,Mira Electronics Trading,CUST013,Union Pharma Trading,SME,N,Y,Y,Y,PROD004,Invoice Discounting,0.86,6.50,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0005,CUST023,Nova Build Contracting,CUST006,Desert Sands Construction,Corporate,Y,Y,N,Y,PROD002,Term Loan,0.74,8.70,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0006,CUST023,Nova Build Contracting,CUST012,Skyline Real Estate,Corporate,N,Y,N,Y,PROD002,Term Loan,0.82,8.75,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0007,CUST024,Palm Logistics Freezone,CUST008,Blue Wave Shipping,Corporate,N,Y,Y,Y,PROD003,Trade Finance LC,0.85,6.85,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0008,CUST024,Palm Logistics Freezone,CUST018,Lulu Fresh Markets,Corporate,N,Y,Y,N,PROD003,Trade Finance LC,0.80,6.82,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0009,CUST025,Apex Cloud Services FZ LLC,CUST013,Union Pharma Trading,SME,N,Y,N,Y,PROD006,USD Term Loan,0.82,7.30,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0010,CUST025,Apex Cloud Services FZ LLC,CUST015,Prime Tech Solutions,SME,Y,Y,Y,Y,PROD006,USD Term Loan,0.73,7.35,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0011,CUST026,Gulf Agro Commodities,CUST007,Pearl Foods Distribution,SME,Y,Y,Y,Y,PROD005,Overdraft Facility,0.74,8.25,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0012,CUST026,Gulf Agro Commodities,CUST019,Coastal Marine Services,SME,N,Y,N,Y,PROD005,Overdraft Facility,0.91,8.15,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0013,CUST027,Harbor Marine Engineering,CUST003,Gulf Star Logistics,Corporate,N,Y,N,N,PROD006,USD Term Loan,0.82,7.75,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0014,CUST027,Harbor Marine Engineering,CUST008,Blue Wave Shipping,Corporate,N,Y,N,N,PROD006,USD Term Loan,0.84,7.70,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0015,CUST028,City Retail Mart LLC,CUST019,Coastal Marine Services,SME,N,Y,N,N,PROD001,Working Capital Loan,0.92,7.40,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
SIM0016,CUST028,City Retail Mart LLC,CUST014,Arabian Textiles,SME,N,Y,N,Y,PROD001,Working Capital Loan,0.82,7.52,0.35,Reference price adjusted upward because new customer has no relationship history.,Similarity_Feature_Service_Synthetic,raw_customer_similarity_mapping_20260701.csv,BATCH_RAW_20260701_001,2026-07-01T10:00:00+04:00
