deal_id,conversation_id,customer_id,customer_name,product_id,product_name,product_type,competitor_name,fab_price_pct,competitor_price_pct,profitability_floor_pct,max_reducible_pct,competitor_gap_bps,suggested_action,action_reason,last_agent_recommendation,rm_note
MEM0001,CONV202606001,CUST014,Arabian Textiles,PROD007,FX Forward Facility,Treasury,HSBC UAE,5.87,5.77,5.2,0.67,10.0,MATCH,Gap is small and stays above floor - matching is safe.,Offer bundle with cross-sell,Customer asked for relationship pricing
MEM0002,CONV202606002,CUST004,Oasis Retail Group,PROD006,USD Term Loan,Loan,Emirates NBD,8.0,7.5,6.3,1.7,50.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Escalate for approval,Customer wants faster approval
MEM0003,CONV202606003,CUST016,Capital Education Group,PROD003,Trade Finance LC,Trade Finance,Emirates NBD,6.45,5.95,6.3,0.15,50.0,REJECT,Competitor price is below FAB profitability floor - matching would be loss-making.,Hold price,Customer mentioned competitor lower quote
MEM0004,CONV202606004,CUST015,Prime Tech Solutions,PROD001,Working Capital Loan,Loan,Standard Chartered UAE,7.0,6.9,6.15,0.85,10.0,MATCH,Gap is small and stays above floor - matching is safe.,Hold price,Customer is new and comparing banks
MEM0005,CONV202606005,CUST003,Gulf Star Logistics,PROD006,USD Term Loan,Loan,ADCB,7.5,6.85,5.9,1.6,65.0,ESCALATE,Large gap but above floor - escalate for pricing approval.,Hold price,Customer is new and comparing banks
MEM0006,CONV202606006,CUST017,Red Dune Mining,PROD002,Term Loan,Loan,Mashreq Bank,8.72,8.07,6.6,2.12,65.0,ESCALATE,Large gap but above floor - escalate for pricing approval.,Hold price,Customer requested fee waiver with rate discount
MEM0007,CONV202606007,CUST002,Falcon Steel Industries,PROD003,Trade Finance LC,Trade Finance,Emirates NBD,6.3,5.95,6.15,0.15,35.0,REJECT,Competitor price is below FAB profitability floor - matching would be loss-making.,Offer bundle with cross-sell,Customer asked for relationship pricing
MEM0008,CONV202606008,CUST006,Desert Sands Construction,PROD001,Working Capital Loan,Loan,Mashreq Bank,7.6,6.95,5.8,1.8,65.0,ESCALATE,Large gap but above floor - escalate for pricing approval.,Reduce within approved discount,Customer is new and comparing banks
MEM0009,CONV202606009,CUST010,Metro Auto Parts LLC,PROD006,USD Term Loan,Loan,HSBC UAE,7.62,7.52,5.9,1.72,10.0,MATCH,Gap is small and stays above floor - matching is safe.,Hold price,Customer mentioned competitor lower quote
MEM0010,CONV202606010,CUST018,Lulu Fresh Markets,PROD007,FX Forward Facility,Treasury,Dubai Islamic Bank,5.77,5.12,5.4,0.37,65.0,REJECT,Competitor price is below FAB profitability floor - matching would be loss-making.,Hold price,Customer asked for relationship pricing
MEM0011,CONV202606011,CUST020,Nile General Supplies,PROD002,Term Loan,Loan,Standard Chartered UAE,8.8,8.15,6.6,2.2,65.0,ESCALATE,Large gap but above floor - escalate for pricing approval.,Reduce within approved discount,Customer wants faster approval
MEM0012,CONV202606012,CUST011,Royal Hospitality LLC,PROD001,Working Capital Loan,Loan,ADCB,7.23,6.88,6.0,1.23,35.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Escalate for approval,Customer wants faster approval
MEM0013,CONV202606013,CUST025,Apex Cloud Services FZ LLC,PROD006,USD Term Loan,Loan,ADCB,7.65,7.15,6.05,1.6,50.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Reduce within approved discount,Customer asked for relationship pricing
MEM0014,CONV202606014,CUST030,Orbit Hospitality Services,PROD005,Overdraft Facility,Loan,Mashreq Bank,8.65,8.15,6.15,2.5,50.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Hold price,Customer mentioned competitor lower quote
MEM0015,CONV202606015,CUST031,Silver Line Auto Components,PROD004,Invoice Discounting,Trade Finance,Standard Chartered UAE,7.15,6.5,6.0,1.15,65.0,ESCALATE,Large gap but above floor - escalate for pricing approval.,Hold price,Customer is new and comparing banks
MEM0016,CONV202606016,CUST029,Zenith Pharma Distribution,PROD003,Trade Finance LC,Trade Finance,HSBC UAE,6.9,6.55,6.3,0.6,35.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Escalate for approval,Customer is new and comparing banks
MEM0017,CONV202606017,CUST026,Gulf Agro Commodities,PROD005,Overdraft Facility,Loan,HSBC UAE,8.35,8.25,6.3,2.05,10.0,MATCH,Gap is small and stays above floor - matching is safe.,Hold price,Customer is new and comparing banks
MEM0018,CONV202606018,CUST024,Palm Logistics Freezone,PROD003,Trade Finance LC,Trade Finance,ADCB,7.2,6.85,6.3,0.9,35.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Hold price,Customer mentioned competitor lower quote
MEM0019,CONV202606019,CUST032,Falcon Renewable Parts,PROD006,USD Term Loan,Loan,Standard Chartered UAE,7.9,7.55,6.3,1.6,35.0,COUNTER,Moderate gap - counter-offer between FAB price and competitor price.,Hold price,Customer asked for relationship pricing
MEM0020,CONV202606020,CUST028,City Retail Mart LLC,PROD001,Working Capital Loan,Loan,ADCB,7.6,7.4,6.15,1.45,20.0,MATCH,Gap is small and stays above floor - matching is safe.,Offer bundle with cross-sell,Customer mentioned competitor lower quote
