entity_name,column_name,data_type,description,source_file,key_type
ApprovalLevel,level_code,string,,kg_approval_levels_curated.csv,PRIMARY_KEY
ApprovalLevel,description,string,,kg_approval_levels_curated.csv,
ApprovalLevel,escalation_order,integer,,kg_approval_levels_curated.csv,
ApprovalLevel,source_file,string,,kg_approval_levels_curated.csv,
ApprovalLevel,load_timestamp,datetime,,kg_approval_levels_curated.csv,
BusinessRule,rule_id,string,,kg_business_rules_curated.csv,PRIMARY_KEY
BusinessRule,rule_version,string,,kg_business_rules_curated.csv,
BusinessRule,description,string,,kg_business_rules_curated.csv,
BusinessRule,result,string,,kg_business_rules_curated.csv,
BusinessRule,source_file,string,,kg_business_rules_curated.csv,
BusinessRule,load_timestamp,datetime,,kg_business_rules_curated.csv,
Customer,customer_id,string,,kg_customers_curated.csv,PRIMARY_KEY
Customer,customer_name,string,,kg_customers_curated.csv,
Customer,customer_segment,string,,kg_customers_curated.csv,
Customer,industry,string,,kg_customers_curated.csv,
Customer,region,string,,kg_customers_curated.csv,
Customer,preferred_currency,string,,kg_customers_curated.csv,
Customer,risk_category,string,,kg_customers_curated.csv,
Customer,internal_rating,string,,kg_customers_curated.csv,
Customer,relationship_tenure_years,integer,,kg_customers_curated.csv,
Customer,relationship_status,string,,kg_customers_curated.csv,
Customer,relationship_discount_pct,float,,kg_customers_curated.csv,
Customer,annual_revenue_aed,float,,kg_customers_curated.csv,
Customer,debt_to_equity_ratio,float,,kg_customers_curated.csv,
Customer,credit_score,integer,,kg_customers_curated.csv,
Customer,existing_exposure_aed,float,,kg_customers_curated.csv,
Customer,source_file,string,,kg_customers_curated.csv,
Customer,load_timestamp,datetime,,kg_customers_curated.csv,
DealOutcome,deal_id,string,,kg_deal_outcomes_curated.csv,FOREIGN_KEY
DealOutcome,deal_outcome,string,,kg_deal_outcomes_curated.csv,
DealOutcome,final_approved_price_pct,float,,kg_deal_outcomes_curated.csv,
DealOutcome,expected_margin_pct,float,,kg_deal_outcomes_curated.csv,
DealOutcome,sales_channel,string,,kg_deal_outcomes_curated.csv,
DealOutcome,source_file,string,,kg_deal_outcomes_curated.csv,
DealOutcome,load_timestamp,datetime,,kg_deal_outcomes_curated.csv,
Deal,deal_id,string,,kg_deals_curated.csv,PRIMARY_KEY
Deal,deal_date,datetime,,kg_deals_curated.csv,
Deal,customer_id,string,,kg_deals_curated.csv,FOREIGN_KEY
Deal,product_id,string,,kg_deals_curated.csv,FOREIGN_KEY
Deal,product_type,string,,kg_deals_curated.csv,
Deal,currency,string,,kg_deals_curated.csv,
Deal,tenor,string,,kg_deals_curated.csv,
Deal,requested_amount,float,,kg_deals_curated.csv,
Deal,funding_cost_pct,float,,kg_deals_curated.csv,
Deal,standard_margin_pct,float,,kg_deals_curated.csv,
Deal,risk_premium_pct,float,,kg_deals_curated.csv,
Deal,relationship_discount_pct,float,,kg_deals_curated.csv,
Deal,recommended_price_pct,float,,kg_deals_curated.csv,
Deal,final_approved_price_pct,float,,kg_deals_curated.csv,
Deal,expected_margin_pct,float,,kg_deals_curated.csv,
Deal,deal_outcome,string,,kg_deals_curated.csv,
Deal,sales_channel,string,,kg_deals_curated.csv,
Deal,source_file,string,,kg_deals_curated.csv,
Deal,load_timestamp,datetime,,kg_deals_curated.csv,
PolicyException,deal_id,string,,kg_policy_exceptions_curated.csv,FOREIGN_KEY
PolicyException,rule_id,string,,kg_policy_exceptions_curated.csv,FOREIGN_KEY
PolicyException,rule_version,string,,kg_policy_exceptions_curated.csv,
PolicyException,policy_id,string,,kg_policy_exceptions_curated.csv,FOREIGN_KEY
PolicyException,expected_margin_pct,float,,kg_policy_exceptions_curated.csv,
PolicyException,policy_min_margin_pct,float,,kg_policy_exceptions_curated.csv,
PolicyException,margin_shortfall,string,,kg_policy_exceptions_curated.csv,
PolicyException,severity,string,,kg_policy_exceptions_curated.csv,
PolicyException,reason,string,,kg_policy_exceptions_curated.csv,
PolicyException,evaluation_timestamp,datetime,,kg_policy_exceptions_curated.csv,
PolicyException,source_file,string,,kg_policy_exceptions_curated.csv,
PolicyException,load_timestamp,datetime,,kg_policy_exceptions_curated.csv,
PricingPolicy,policy_id,string,,kg_pricing_policies_curated.csv,PRIMARY_KEY
PricingPolicy,customer_segment,string,,kg_pricing_policies_curated.csv,
PricingPolicy,product_type,string,,kg_pricing_policies_curated.csv,
PricingPolicy,risk_category,string,,kg_pricing_policies_curated.csv,
PricingPolicy,min_margin_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,risk_premium_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,max_relationship_discount_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,approval_required_if_discount_above_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,min_expected_margin_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,rwa_risk_weight_pct,float,,kg_pricing_policies_curated.csv,
PricingPolicy,status,string,,kg_pricing_policies_curated.csv,
PricingPolicy,source_file,string,,kg_pricing_policies_curated.csv,
PricingPolicy,load_timestamp,datetime,,kg_pricing_policies_curated.csv,
Product,product_id,string,,kg_products_curated.csv,PRIMARY_KEY
Product,product_name,string,,kg_products_curated.csv,
Product,product_type,string,,kg_products_curated.csv,
Product,pricing_method,string,,kg_products_curated.csv,
Product,currency,string,,kg_products_curated.csv,
Product,eligible_tenors,string,,kg_products_curated.csv,
Product,standard_margin_pct,float,,kg_products_curated.csv,
Product,max_margin_pct,float,,kg_products_curated.csv,
Product,max_discount_allowed_pct,float,,kg_products_curated.csv,
Product,min_ticket_size,string,,kg_products_curated.csv,
Product,max_ticket_size,string,,kg_products_curated.csv,
Product,eligible_segments,string,,kg_products_curated.csv,
Product,source_file,string,,kg_products_curated.csv,
Product,load_timestamp,datetime,,kg_products_curated.csv,
Recommendation,deal_id,string,,kg_recommendations_curated.csv,FOREIGN_KEY
Recommendation,recommended_price_pct,float,,kg_recommendations_curated.csv,
Recommendation,standard_margin_pct,float,,kg_recommendations_curated.csv,
Recommendation,risk_premium_pct,float,,kg_recommendations_curated.csv,
Recommendation,relationship_discount_pct,float,,kg_recommendations_curated.csv,
Recommendation,funding_cost_pct,float,,kg_recommendations_curated.csv,
Recommendation,source_file,string,,kg_recommendations_curated.csv,
Recommendation,load_timestamp,datetime,,kg_recommendations_curated.csv,
TreasuryRate,rate_id,string,,kg_treasury_rates_curated.csv,PRIMARY_KEY
TreasuryRate,currency,string,,kg_treasury_rates_curated.csv,
TreasuryRate,benchmark_index,string,,kg_treasury_rates_curated.csv,
TreasuryRate,tenor,string,,kg_treasury_rates_curated.csv,
TreasuryRate,effective_date,datetime,,kg_treasury_rates_curated.csv,
